district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
前鎮區,村,一德路,,修文一街,1,0,晴,晨或暮光,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,穿越道路中,Y
梓官區,村,梓官路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,追撞,Y
小港區,村,中林路,,,1,0,雨,日間自然光線,直路,機車專用道,濕潤,無缺陷,無障礙物,無號誌,寬式(50公分以上),未繪設車道線,未繪設快慢車道分隔線,有,路上翻車、摔倒,N
苓雅區,村,中正二路,,尚義街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,路口交岔撞,Y
鳥松區,村,公園路,,,1,0,雨,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,一般車道(未劃分快慢車道),濕潤,無缺陷,無障礙物,無號誌,附標記,車道線(無標記),未繪設快慢車道分隔線,有,對向擦撞,Y
鼓山區,村,鼓山三路,,雄峰路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,人行道,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,撞路樹、電桿,Y
美濃區,村,吉山,,吉山,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,Y
大寮區,村,大漢路,,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(附標記),快慢車道分隔線,有,撞路樹、電桿,N
前鎮區,村,大華一路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,無,追撞,Y
六龜區,新發里,台27省道,,,1,1,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,車道線(無標記),未繪設快慢車道分隔線,有,同向擦撞,Y
路竹區,村,新生路,,,1,2,晴,晨或暮光,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
鳳山區,,中山東路,,維武路,1,1,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
仁武區,村,義大二路,,,1,0,陰,晨或暮光,其他,其他,濕潤,無缺陷,無障礙物,無號誌,無,車道線(無標記),快慢車道分隔線,無,對撞,Y
內門區,村,高117鄉道,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,對撞,Y
大樹區,村,統嶺路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,交通島(含槽化緣),乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),禁止變換車道線(附標記),快慢車道分隔線,有,撞交通島,N
鳳山區,,建國路,1,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,同向擦撞,Y
三民區,村,民族一路,,,1,1,晴,日間自然光線,其他,其他,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
大寮區,,河堤路,3,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,撞路樹、電桿,Y
岡山區,村,岡山路,,嘉新西路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
美濃區,,中山路,2,中山路,1,2,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,撞路樹、電桿,N
美濃區,村,中正路,3,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
大寮區,村,興隆路,,東隆街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
左營區,,天祥二路,,天祥二路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,側撞,Y
茄萣區,村,正大路,,,1,0,晴,日間自然光線,彎曲路及附近,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),禁止變換車道線(附標記),快慢車道分隔線,有,側撞,Y
燕巢區,村,深中路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,路上翻車、摔倒,N
內門區,村,182縣道,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,撞路樹、電桿,Y
鼓山區,,九如四路,,建榮路,1,0,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,,車道線(無標記),快慢車道分隔線,無,側撞,Y
三民區,村,九如一路,,臥龍路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,路口交岔撞,Y
鳳山區,村,紅毛港路,,家和一街,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,鳳屏一路,,,1,0,晴,晨或暮光,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
仁武區,,高楠四街,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,其他,Y
小港區,村,山明路,,,1,1,晴,日間自然光線,彎曲路及附近,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,無,側撞,N
楠梓區,村,高楠公路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),寬式快慢車道分隔島(50公分以上),無,同向擦撞,Y
美濃區,村,永華街,,,1,0,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,車道線(無標記),未繪設快慢車道分隔線,有,撞路樹、電桿,Y
左營區,村,蓮潭路,,蓮潭路,1,3,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
小港區,村,高坪十五路,,高坪十八路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,追撞,Y
美濃區,,中山路,2,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,,未繪設車道線,未繪設快慢車道分隔線,有,側撞,N
杉林區,村,南河,,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,其他,Y
鼓山區,,銘傳路,,翠華路,1,0,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,,禁止變換車道線(附標記),快慢車道分隔線,有,路口交岔撞,Y
左營區,,左營新路,,孔營路,1,0,晴,日間自然光線,,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,,未繪設車道線,未繪設快慢車道分隔線,無,其他,Y
三民區,村,中華二路,,,1,0,雨,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,濕潤,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),寬式快慢車道分隔島(50公分以上),無,其他,Y
左營區,村,翠華路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,追撞,Y
鳳山區,,紅毛港路,,南華一路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
仁武區,村,義大二路,,學府路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路上翻車、摔倒,Y
大寮區,村,仁愛路,,國華街,1,2,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,N
林園區,村,沿海路,3,田厝路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),禁止變換車道線(附標記),寬式快慢車道分隔島(50公分以上),有,側撞,Y
田寮區,村,台28省道,,,2,1,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,其他,N
鳳山區,村,五甲一路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),寬式快慢車道分隔島(50公分以上),無,追撞,Y
左營區,村,翠華路,,新莊一路,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),窄式快慢車道分隔島(無柵欄),無,同向擦撞,Y
楠梓區,村,加昌路,,秀群路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,拷潭路,,,1,0,陰,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),濕潤,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,對向擦撞,Y
